"","ID","Date","Block","Treatment","Genus","Species","Common.Name","Height..m.","Notes"
"320","320","",6,6,"Cornus","drummondii","roughleaf dogwood","1.26",""
"321","321","",6,7,"Cornus","drummondii","roughleaf dogwood","0.7",""
"322","322","",6,7,"Vitus","riparia","grape vine","-",""
"323","323","",6,4,"Acer","saccharinum","silver maple","0.98",""
"324","324","",6,2,"Acer","saccharinum","silver maple","0.76",""
"325","325","",6,2,"Acer","saccharinum","silver maple","0.58",""
"326","326","",6,4,"Acer","saccharinum","silver maple","0.65","on strip"
"327","327","",6,4,"Acer","saccharinum","silver maple","1.33",""
"328","328","",6,4,"Acer","saccharinum","silver maple","2.33","on strip"
"329","329","",6,4,"Acer","saccharinum","silver maple","0.87",""
"330","330","",6,4,"Cornus","drummondii","roughleaf dogwood","1.11",""
"331","331","",6,4,"Pyrus","calleryana","callery pear","2.23",""
"332","332","",6,4,"Pyrus","calleryana","callery pear","0.9",""
"333","333","",6,4,"","","","0.61","tree?? Same as 297"
"334","334","",6,7,"Cornus","drummondii","roughleaf dogwood","0.94",""
"335","335","",6,2,"Platanus","occidentalis","sycamore","0.52",""
"336","336","",6,7,"Fraxinus","pennsylvanica","green ash","0.98",""
"337","337","",6,2,"Acer","saccharinum","silver maple","0.52",""
"338","338","",6,2,"Cornus","drummondii","roughleaf dogwood","0.72",""
"339","339","",6,2,"Cornus","drummondii","roughleaf dogwood","0.63",""
"340","340","",6,2,"Cornus","drummondii","roughleaf dogwood","1.22",""
"341","341","",6,2,"Cornus","drummondii","roughleaf dogwood","0.75",""
"342","342","",6,2,"Cornus","drummondii","roughleaf dogwood","0.69",""
"343","343","",6,2,"Cornus","drummondii","roughleaf dogwood","0.52",""
"344","344","",6,4,"Cornus","drummondii","roughleaf dogwood","0.8",""
"345","345","",6,4,"Cornus","drummondii","roughleaf dogwood","0.52",""
"346","346","",6,4,"","","","0.7","simple, alt., lobed and not, buds small brown, stem grey-red "
"347","347","",6,4,"Cornus","drummondii","roughleaf dogwood","0.75",""
"348","348","",6,2,"Cornus","drummondii","roughleaf dogwood","1.04",""
"349","349","",6,2,"Cornus","drummondii","roughleaf dogwood","1.28",""
"350","350","",6,2,"Acer","saccharinum","silver maple","0.87",""
"351","351","",6,2,"cherry?","","","1.05",""
"352","352","",6,2,"Acer","saccharinum","silver maple","0.74",""
"353","353","",6,2,"Acer","saccharinum","silver maple","0.55",""
"354","354","",6,7,"Acer","saccharinum","silver maple","0.73",""
"355","355","",6,7,"Cornus","drummondii","roughleaf dogwood","1.13",""
"356","356","",6,7,"Acer","saccharinum","silver maple","1.35",""
"357","357","",6,4,"Acer","saccharinum","silver maple","0.64",""
"358","358","",6,4,"Cornus","drummondii","roughleaf dogwood","0.89",""
"359","359","",6,4,"Cornus","drummondii","roughleaf dogwood","1.06",""
"360","360","",6,4,"Pyrus","calleryana","callery pear","1",""
"361","361","",6,4,"Acer","saccharinum","silver maple","0.64",""
"362","362","",6,4,"Acer","saccharinum","silver maple","0.65",""
"363","363","",6,4,"Acer","saccharinum","silver maple","1.44",""
"364","364","",6,7,"Acer","saccharinum","silver maple","0.57",""
"365","365","",6,2,"Acer","saccharinum","silver maple","0.51",""
"366","366","",6,2,"Pyrus","calleryana","callery pear","0.84",""
"367","367","",6,2,"Acer","saccharinum","silver maple","0.84",""
"368","368","",6,2,"Acer","saccharinum","silver maple","0.73",""
"369","369","",6,2,"Cornus","drummondii","roughleaf dogwood","1.26",""
"370","370","",6,2,"Pyrus","calleryana","callery pear","1.07",""
"371","371","",6,2,"Platanus","occidentalis","sycamore","0.5",""
"372","372","",6,2,"Acer","saccharinum","silver maple","0.6",""
"373","373","",6,4,"Acer","saccharinum","silver maple","0.81","next to cover plot"
"374","374","",6,4,"Pyrus","calleryana","callery pear","0.97",""
"375","375","",6,4,"Fraxinus","pennsylvanica","green ash","1.18",""
"376","376","",6,1,"","","","","not tall enough "
"377","377","",6,4,"Cornus","drummondii","roughleaf dogwood","0.83",""
"378","378","",6,4,"Pyrus","calleryana","callery pear","0.65",""
"379","379","",6,4,"Cornus","drummondii","roughleaf dogwood","1.26",""
"380","380","",6,4,"Acer","saccharinum","silver maple","0.97",""
"381","381","",6,2,"Acer","saccharinum","silver maple","0.93",""
"382","382","",6,2,"Cornus","drummondii","roughleaf dogwood","1.18",""
"383","383","",6,4,"Pyrus","calleryana","callery pear","0.85",""
"384","384","",6,7,"Vitus","riparia","grape vine","-",""
"385","385","",6,7,"Acer","negundo","boxelder","1.28",""
"386","386","",6,7,"Cornus","drummondii","roughleaf dogwood","1.27",""
"387","387","",6,7,"Acer","saccharinum","silver maple","0.68",""
"388","388","",6,4,"Acer","saccharinum","silver maple","0.58",""
"389","389","",6,4,"Acer","saccharinum","silver maple","0.75",""
"390","390","",6,4,"Acer","saccharinum","silver maple","0.9",""
"391","391","",6,2,"Vitus","riparia","grape vine","-",""
"392","392","",6,7,"Vitus","riparia","grape vine","-",""
"393","393","",6,4,"Pyrus","calleryana","callery pear","1.06",""
"394","394","",6,4,"Cornus","drummondii","roughleaf dogwood","0.67",""
"395","395","",6,4,"Pyrus","calleryana","callery pear","0.92",""
"396","396","",6,4,"Acer","saccharinum","silver maple","0.55",""
"397","397","",6,4,"Acer","saccharinum","silver maple","0.53",""
"398","398","",6,4,"Acer","saccharinum","silver maple","0.59",""
"399","399","",6,4,"Acer","saccharinum","silver maple","0.72",""
"400","400","",6,4,"Acer","saccharinum","silver maple","0.57",""
"401","401","",6,4,"Cercis","canadensis","redbud","0.6","???"
"402","402","",6,4,"","","","1.2","same as 346"
"403","403","",6,4,"Vitus","riparia","grape vine","-",""
"404","404","",6,4,"Acer","saccharinum","silver maple","0.61",""
"405","405","",6,4,"Cornus","drummondii","roughleaf dogwood","0.73",""
"406","406","",6,4,"Cornus","drummondii","roughleaf dogwood","0.65",""
"407","407","",6,4,"Cornus","drummondii","roughleaf dogwood","0.58",""
"408","408","",6,4,"Cornus","drummondii","roughleaf dogwood","0.53",""
"409","409","",6,4,"Cornus","drummondii","roughleaf dogwood","1.55",""
"410","410","",6,4,"Cornus","drummondii","roughleaf dogwood","0.95",""
"411","411","",6,4,"Acer","saccharinum","silver maple ","0.69",""
"412","412","",6,4,"Acer","saccharinum","silver maple ","0.65","on strip"
"413","413","",6,4,"Acer","saccharinum","silver maple ","0.68",""
"414","414","",6,4,"Acer","saccharinum","silver maple ","1.15",""
"415","415","",6,4,"Acer","saccharinum","silver maple ","0.79",""
"416","416","",6,4,"Acer","saccharinum","silver maple ","1.27",""
"417","417","",6,4,"Acer","saccharinum","silver maple ","0.55",""
"418","418","",6,4,"Fraxinus","pennsylvanica","green ash","0.77",""
"419","419","",6,4,"Platanus","occidentalis","sycamore","0.89","on strip"
"420","420","",6,4,"Platanus","occidentalis","sycamore","0.57",""
"421","421","",6,4,"Acer","saccharinum","silver maple ","0.71",""
"422","422","",6,4,"Pyrus","calleryana","callery pear","0.95",""
"423","423","",6,4,"Cornus","drummondii","roughleaf dogwood","1.62",""
"424","424","",6,4,"Cornus","drummondii","roughleaf dogwood","0.57",""
"425","425","",6,4,"Acer","saccharinum","silver maple","0.9",""
"426","426","",6,4,"Acer","saccharinum","silver maple","1.13",""
"427","427","",6,4,"Acer","saccharinum","silver maple","0.68",""
"428","428","",6,4,"Cornus","drummondii","roughleaf dogwood","1.18",""
"429","429","",6,4,"Acer","saccharinum","silver maple","0.82",""
"430","430","",6,4,"Pyrus","calleryana","callery pear","1.03",""
"431","431","",6,4,"Pyrus","calleryana","callery pear","1.06",""
"432","432","",6,4,"Acer","saccharinum","silver maple","0.52",""
"433","433","",6,4,"Pyrus","calleryana","callery pear","0.85",""
"434","434","",6,4,"Acer","saccharinum","silver maple","0.53",""
"435","435","",6,4,"","","","1.1","tree? Opposite, not lobed, entire, rough, light b. buds"
"436","436","",6,4,"Acer","saccharinum","silver maple","0.6",""
"437","437","",6,4,"Acer","saccharinum","silver maple","0.54",""
"438","438","",6,4,"Acer","saccharinum","silver maple","0.74",""
"439","439","",6,4,"Acer","saccharinum","silver maple","0.6",""
"440","440","",6,4,"Acer","saccharinum","silver maple","0.68",""
"441","441","",6,4,"","","","0.68","same as 297 service?"
"442","442","",6,4,"Cornus","drummondii","roughleaf dogwood","0.88",""
"443","443","",6,4,"","","","0.62","tree? Dogwood?"
"444","444","",6,4,"Acer","saccharinum","silver maple","0.7",""
"445","445","",6,4,"Acer","saccharinum","silver maple","0.5",""
"446","446","",6,4,"","","","","not tall"
"447","447","",6,4,"Acer","saccharinum","silver maple","0.84",""
"448","448","",6,4,"Acer","saccharinum","silver maple","0.53",""
"449","449","",6,4,"Acer","saccharinum","silver maple","1.1",""
"450","450","",6,4,"Acer","saccharinum","silver maple","0.66",""
"451","451","",6,4,"Pyrus","calleryana","callery pear","1.17","less red leaves?"
"452","452","",6,4,"Acer","saccharinum","silver maple","0.75",""
"453","453","",6,4,"Acer","saccharinum","silver maple","0.68",""
"454","453b","",7,4,"Cornus","drummondii","roughleaf dogwood","0.68",""
"455","454","",7,4,"Pyrus","calleryana","callery pear","0.68",""
"456","455","",7,4,"Pyrus","calleryana","callery pear","0.74",""
"457","456","",7,4,"","","?","1.04","adult s. elm?"
"458","457","",7,4,"Ulmus","pumila","siberian elm","0.57",""
"459","458","",7,4,"Ulmus","pumila","siberian elm","1.11","check"
"460","459","",7,4,"Ulmus","pumila","siberian elm","0.81","check"
"461","460","",7,4,"Ulmus","pumila","siberian elm","0.62",""
"462","461","",7,4,"Ulmus","pumila","siberian elm","0.59",""
"463","462","",7,4,"Ulmus","pumila","siberian elm","0.72",""
"464","463","",7,4,"Ulmus","pumila","siberian elm","0.65",""
"465","464","",7,4,"Ulmus","pumila","siberian elm","0.74",""
"466","465","",7,4,"Ulmus","pumila","siberian elm","0.75",""
"467","466","",7,4,"Cornus","drummondii","roughleaf dogwood","1.16","same as 453"
"468","467","",7,4,"Ulmus","pumila","siberian elm","0.82",""
"469","468","",7,4,"Ulmus","pumila","siberian elm","0.63",""
"470","469","",7,4,"Ulmus","pumila","siberian elm","0.66","on strip"
"471","470","",7,4,"Ulmus","pumila","siberian elm","0.6",""
"472","471","",7,4,"Ulmus","pumila","siberian elm","0.68",""
"473","472","",7,4,"Ulmus","pumila","siberian elm","0.52",""
"474","473","",7,4,"Acer","saccharinum","silver maple","1.04","on strip"
"475","474","",7,4,"Ulmus","pumila","siberian elm","0.52",""
"476","475","",7,4,"Acer","saccharinum","silver maple","0.51",""
"477","476","",7,7,"Vitus","riparia","grape vine","-",""
"478","477","",7,7,"Vitus","riparia","grape vine","-",""
"479","478","",7,7,"Vitus","riparia","grape vine","-",""
"480","479","",7,7,"Vitus","riparia","grape vine","-",""
"481","480","",7,7,"Fraxinus","pennsylvanica","green ash","0.84",""
"482","481","",7,7,"Vitus","riparia","grape vine","-",""
"483","482","",7,4,"Pyrus","calleryana","callery pear","0.57",""
"484","483","",7,7,"Fraxinus","pennsylvanica","green ash","0.62","no leaves/ buds"
"485","484","",7,4,"Pyrus","calleryana","callery pear","0.7",""
"486","485","",7,4,"Vitus","riparia","grape vine","-","on strip"
"487","486","",7,4,"Vitus","riparia","grape vine","-","on strip"
"488","487","",7,2,"Vitus","riparia","grape vine","-",""
"489","488","",7,2,"Acer","saccharinum","silver maple","0.96",""
"490","489","",7,4,"Vitus","riparia","grape vine","-",""
"491","490","",7,4,"Vitus","riparia","grape vine","-",""
"492","491","",7,4,"Acer","saccharinum","silver maple","0.74",""
"493","492","",7,4,"Vitus","riparia","grape vine","-",""
"494","493","",7,4,"Pyrus","calleryana","callery pear","1.76","not as red, fuzzy stems"
"495","494","",7,4,"Pyrus","calleryana","callery pear","0.9",""
"496","495","",7,4,"Vitus","riparia","grape vine","-",""
"497","496","",7,4,"Vitus","riparia","grape vine","-",""
"498","497","",7,4,"Vitus","riparia","grape vine","-",""
"499","498","",7,2,"Vitus","riparia","grape vine","-",""
"500","499","",7,2,"Vitus","riparia","grape vine","-",""
"501","500","",7,2,"Pyrus","calleryana","callery pear","1.3","waxier"
"502","501","",7,2,"Vitus","riparia","grape vine","-",""
"503","502","",7,7,"Vitus","riparia","grape vine","-",""
"504","503","",7,7,"","","raspberry","1.03",""
"505","504","",7,4,"Ulmus","pumila","siberian elm","0.68",""
"506","505","",7,4,"Vitus","riparia","grape vine","-",""
"507","506","",7,4,"Vitus","riparia","grape vine","-",""
"508","507","",7,4,"Vitus","riparia","grape vine","-",""
"509","508","",7,4,"Vitus","riparia","grape vine","-",""
"510","509","",7,4,"Vitus","riparia","grape vine","-",""
"511","510","",7,4,"Vitus","riparia","grape vine","-",""
"512","511","",7,4,"Morus","","mulberry","1.86","dif. Leaves"
"513","512","",7,4,"Vitus","riparia","grape vine","-",""
"514","513","",7,4,"","","mulberry?","1.86","no leaves"
"515","514","",7,4,"Morus","","mulberry","2.9",""
"516","515","",7,4,"Vitus","riparia","grape vine","-",""
"517","516","",7,4,"Fraxinus","pennsylvanica","green ash","1.11",""
"518","517","",7,4,"Vitus","riparia","grape vine","-",""
"519","518","",7,4,"Vitus","riparia","grape vine","-",""
"520","519","",7,4,"Vitus","riparia","grape vine","-",""
"521","520","",7,4,"","","","1.13","blue berries"
"522","521","",7,4,"Vitus","riparia","grape vine","-",""
"523","522","",7,4,"","","","0.84","same as 453"
"524","523","",7,4,"Vitus","riparia","grape vine","-",""
"525","524","",7,4,"Vitus","riparia","grape vine","-",""
"526","525","",7,4,"Acer","saccharinum","silver maple","0.78",""
"527","526","",7,4,"Acer","saccharinum","silver maple","0.68",""
"528","527","",7,4,"Vitus","riparia","grape vine","-",""
"529","528","",7,4,"Vitus","riparia","grape vine","-",""
"530","529","",7,4,"Acer","saccharinum","silver maple","0.7",""
"531","530","",7,4,"Vitus","riparia","grape vine","-",""
"532","531","",7,4,"Morus","","mulberry","0.8","no leaves - one deeply lobed"
"533","532","",7,4,"Vitus","riparia","grape vine","-",""
"534","533","",7,4,"Vitus","riparia","grape vine","-",""
"535","534","",7,4,"Vitus","riparia","grape vine","-",""
"536","535","",7,4,"Vitus","riparia","grape vine","-",""
"537","536","",7,4,"Acer","saccharinum","silver maple","1.11","on strip"
"538","537","",7,4,"Vitus","riparia","grape vine","-",""
"539","538","",3,4,"Cornus","drummondii","roughleaf dogwood","0.82","on strip/no leaves, red stems"
"540","539","",3,4,"Platanus","occidentalis","sycamore","0.52",""
"541","540","",3,4,"Platanus","occidentalis","sycamore","0.75","on strip"
"542","541","",3,7,"Acer","saccharinum","silver maple","0.58",""
"543","542","",3,7,"Acer","saccharinum","silver maple","0.58",""
"544","543","",3,7,"Acer","saccharinum","silver maple","1.28",""
"545","544","",3,2,"Acer","saccharinum","silver maple","0.57",""
"546","545","",3,4,"Acer","saccharinum","silver maple","0.52",""
"547","546","",3,4,"Pyrus","calleryana","callery pear","1.02","few leaves/redder than dogwood"
"548","547","",3,4,"Acer","saccharinum","silver maple","0.94","on strip"
"549","548","",3,4,"Pyrus","calleryana","callery pear","","on strip, no leaves"
"550","549","",3,2,"Vitus","riparia","grape vine","-",""
"551","550","",3,2,"Vitus","riparia","grape vine","-",""
"552","551","",3,2,"Vitus","riparia","grape vine","-",""
"553","552","",3,2,"Vitus","riparia","grape vine","-",""
"554","553","",3,2,"Acer","saccharinum","silver maple","1.19",""
"555","554","",3,4,"Cornus","drummondii","roughleaf dogwood","1.46",""
"556","555","",3,4,"Fraxinus","pennsylvanica","green ash","0.94",""
"557","556","",3,4,"Cornus","drummondii","roughleaf dogwood","0.85",""
"558","557","",3,2,"Vitus","riparia","grape vine","-",""
"559","558","",3,2,"Acer","saccharinum","silver maple","1.32",""
"560","559","",3,7,"Acer","saccharinum","silver maple","0.57",""
"561","560","",3,4,"Vitus","riparia","grape vine","-",""
"562","561","",3,4,"Platanus","occidentalis","sycamore","1.3","on strip "
"563","562","",3,4,"Vitus","riparia","grape vine","-",""
"564","563","",3,4,"Pyrus","calleryana","callery pear","0.67",""
"565","564","",3,4,"Acer","saccharinum","silver maple","0.73",""
"566","565","",3,4,"Cornus","drummondii","roughleaf dogwood","0.61",""
"567","577","",8,4,"Ulmus","pumila","siberian elm","0.68","darker"
"568","578","",8,4,"Ulmus","pumila","siberian elm","1.64","lighter"
"569","579","",8,4,"Ulmus","pumila","siberian elm","0.67","lighter"
"570","580","",8,4,"Vitus","riparia","grape vine","-",""
"571","581","",8,4,"Morus","","mulberry","1.23","no leaves"
"572","582","",8,4,"Vitus","riparia","grape vine","0.79",""
"573","583","",8,4,"Acer","saccharinum","silver maple","0.76",""
"574","584","",8,4,"Platanus","occidentalis","sycamore","0.73",""
"575","585","",8,4,"Acer","saccharinum","silver maple","0.72",""
"576","586","",8,4,"Pyrus","calleryana","callery pear","1.16","red veins"
"577","587","",8,4,"Acer","saccharinum","silver maple","0.87",""
"578","588","",8,4,"Vitus","riparia","grape vine","-",""
"579","589","",8,4,"Ulmus","pumila","siberian elm","0.5","lighter"
"580","590","",8,4,"Acer","saccharinum","silver maple","0.96",""
"581","591","",8,4,"Morus","","mulberry","0.69","deep lobes"
"582","592","",8,4,"Vitus","riparia","grape vine","-",""
"583","593","",8,4,"Cornus","drummondii","roughleaf dogwood","1.22",""
"584","594","",8,4,"Vitus","riparia","grape vine","-",""
"585","595","",8,4,"Acer","saccharinum","silver maple","0.68",""
"586","596","",8,4,"Vitus","riparia","grape vine","-",""
"587","597","",8,4,"","","","0.74","opposite leaves, red stem, blunt edge"
"588","598","",8,4,"Pyrus","calleryana","callery pear","1.01","red veins"
"589","599","",8,4,"Acer","saccharinum","silver maple","0.52",""
"590","600","",8,4,"Pyrus","calleryana","callery pear","0.56","598"
"591","601","",8,4,"Fraxinus","pennsylvanica","green ash","1.04",""
"592","602","",8,4,"Vitus","riparia","grape vine","-",""
"593","603","",8,4,"Vitus","riparia","grape vine","-","on strip"
"594","604","",8,4,"Ulmus","pumila","siberian elm","0.5","lighter but small"
"595","605","",8,4,"Ulmus","pumila","siberian elm","0.63",""
"596","606","",8,4,"","","tree?","0.62","one leaf"
"597","607","",8,4,"","","raspberry","0.99",""
"598","608","",8,2,"Cornus","drummondii","roughleaf dogwood","0.99",""
"599","609","",8,2,"Prunus","serotina","black cherry","1.01",""
"600","610","",8,7,"Vitus","riparia","grape vine","-",""
"601","611","",8,4,"Vitus","riparia","grape vine","-",""
"602","612","",8,4,"Acer","saccharinum","silver maple","0.6",""
"603","613","",8,4,"Acer","saccharinum","silver maple","0.63",""
"604","614","",8,4,"Acer","saccharinum","silver maple","1.2",""
"605","615","",8,4,"Morus","","mulberry","1.12","deeply lobed"
"606","616","",8,4,"Acer","saccharinum","silver maple","1.05",""
"607","617","",8,4,"Morus","","mulberry","0.65","both leaves"
"608","618","",8,4,"Vitus","riparia","grape vine","-",""
"609","619","",8,1,"","","","","not tall enough"
"610","620","",8,7,"Acer","saccharinum","silver maple","0.87",""
"611","621","",8,7,"Acer","saccharinum","silver maple","2.22",""
"612","622","",8,7,"Platanus","occidentalis","sycamore ","2.54",""
"613","623","",8,7,"Acer","saccharinum","silver maple","0.97",""
"614","624","",8,2,"Pyrus","calleryana","callery pear","0.67","red vein"
"615","625","",8,2,"Acer","negundo","boxelder","0.61","white buds, red stem"
"616","626","",8,2,"Pyrus","calleryana","callery pear","0.62","624"
"617","627","",8,7,"Vitus","riparia","grape vine","-",""
"618","628","",8,7,"Vitus","riparia","grape vine","-",""
"619","629","",8,7,"Ulmus","pumila","siberian elm","1.3","small, light/bent 1-stick"
"620","630","",8,7,"Pyrus","calleryana","callery pear","0.61",""
"621","631","",8,4,"Acer","saccharinum","silver maple","0.76",""
"622","632","",8,4,"Pyrus","calleryana","callery pear","1.04","not as red"
"623","633","",8,4,"Acer","saccharinum","silver maple","0.78",""
"624","634","",8,4,"Acer","saccharinum","silver maple","0.83",""
"625","635","",8,4,"Acer","saccharinum","silver maple","1.09",""
"626","636","",8,4,"Vitus","riparia","grape vine","-",""
"627","637","",8,4,"Morus","","mulberry","1.26","waxy grey/no leaves, on strip"
"628","638","",8,4,"Acer","saccharinum","silver maple","1.27","on strip "
"629","639","",8,4,"Vitus","riparia","grape vine","-",""
"630","640","",8,4,"Vitus","riparia","grape vine","-",""
"631","641","",8,4,"Vitus","riparia","grape vine","-",""
"632","642","",8,4,"Platanus","occidentalis","sycamore","1.55",""
"633","643","",8,4,"Morus","","mulberry","0.96","deeply lobed"
"634","644","",8,4,"Acer","saccharinum","silver maple","0.7",""
"635","645","",8,4,"Vitus","riparia","grape vine","-",""
"636","646","",8,4,"Vitus","riparia","grape vine","-",""
"637","647","",8,2,"Vitus","riparia","grape vine","-",""
"638","648","",8,2,"Vitus","riparia","grape vine","-",""
"639","649","",8,2,"Pyrus","calleryana","callery pear","0.58","not red"
"640","650","",8,4,"Ulmus","pumila","siberian elm","1.2",""
"641","651","",8,4,"","","raspberry","0.54",""
"642","652","",8,4,"Vitus","riparia","grape vine","-",""
"643","653","",8,4,"Vitus","riparia","grape vine","-",""
"644","654","",8,4,"Vitus","riparia","grape vine","-","on strip"
"645","655","",8,4,"Morus","","mulberry","0.82","both leaves"
"646","656","",8,4,"Morus","","mulberry","0.75","deep lobes - extra lobe"
"647","657","",8,4,"Vitus","riparia","grape vine","-",""
"648","658","",8,4,"Pyrus","calleryana","callery pear","0.89","red"
"649","659","",8,4,"Pyrus","calleryana","callery pear","1.8","stem not as red"
"650","660","",8,4,"Acer","saccharinum","silver maple","0.61",""
"651","661","",8,4,"Vitus","riparia","grape vine","-",""
"652","662","",8,4,"Morus","","mulberry","1.34","deep lobe"
"653","663","",8,4,"Pyrus","calleryana","callery pear","1.06","red stems, not veins"
"654","664","",8,4,"Platanus","occidentalis","sycamore","0.58","on strip "
"655","665","",8,4,"Vitus","riparia","grape vine","-","on strip "
"656","666","",8,4,"Acer","saccharinum","silver maple","0.87",""
"657","667","",8,4,"Cornus","drummondii","roughleaf dogwood","0.94",""
"658","668","",8,4,"Vitus","riparia","grape vine","-",""
"659","669","",8,4,"Platanus","occidentalis","sycamore ","1.37",""
"660","670","",8,4,"Cornus","stolonifera","red osier dogwood","","very red"
"661","671","",8,4,"Acer","saccharinum","silver maple","0.64",""
"662","672","",8,4,"Cornus","drummondii","roughleaf dogwood","0.69",""
"663","673","",NA,1,"Morus","","mulberry","0.88",""
